134, Yuhtunga Jungle
135, Kazham
171, Altepa Desert
181, Dash de Chocobo - Low Quality
190, The Sanctuary of Zi'Tah
191, Battle Theme #3
192, Battle in the Dungeon #3
193, Tough Battle #2
194, Bloody Promises
195, Belief
196, Fighters of the Crystal
197, To the Heavens
198, Eald'narche
199, Grav'iton
200, Hidden Truths
201, End Theme
202, Moongate (Memoro de la Stono)
203, Ancient Verse of Uggalepih
204, Ancient Verse of Ro'Maeve
205, Ancient Verse of Altepa
206, Revenant Maiden
207, Ve'Lugannon Palace
208, Rabao
209, Norg
210, Tu'Lia
211, Ro'Maeve
212, Dash de Chocobo
213, Hall of the Gods
214, Eternal Oath
