140, [Unplayable Music] Wings of the Goddess
141, [Unplayable Music] The Cosmic Wheel
145, [Unplayable Music] Encampment Dreams
180, [Unplayable Music] Thunder of the March
181, [Unplayable Music] Griffons Never Die
182, [Unplayable Music] Stargazing
215, [Unplayable Music] Clash of Standards
216, [Unplayable Music] On this Blade
217, [Unplayable Music] Kindred Cry
246, [Unplayable Music] March of the Allied Forces
247, [Unplayable Music] Roar of the Battle Drums
248, [Unplayable Music] Young Griffons in Flight
249, [Unplayable Music] Run Maggot Run!
250, [Unplayable Music] Under a Clouded Moon
251, [Unplayable Music] Autumn Footfalls
252, [Unplayable Music] Flowers on the Battlefield
253, [Unplayable Music] Echoes of a Zephyr
254, [Unplayable Music] Griffons Never Die
