034, We Are Vana'diel
087, For a Friend
101, Battle Theme
102, Battle in the Dungeon
103, Battle Theme #2 (Party)
104, Yughott Groto
105, Mhaura
106, Voyager
107, The Kingdom of San d'Oria
108, Vana'diel March
109, Ronfaure
110, The Grand Duchy of Jeuno
111, Blackout (When you die)
112, Selbina
113, Sarutabaruta
114, Batallia Downs
115, Battle in the Dungeon #2
116, Gustaberg
117, Ru'Lude Gardens
118, Rolanberry Fields
119, Awakening
120, Vana'diel March #2
121, Shadow Lord
122, One Last Time
123, Hopelessness
124, Recollection
125, Tough Battle
126, Mog House
127, Anxiety
128, Airship
129, Hook, Line, and Sinker
130, Tarutaru Female (Character Creation)
131, Elvaan Female (Character Creation)
132, Elvaan Male (Character Creation)
133, Hume Male (Character Creation)
136, The Big One (Fishing)
151, The Federation of Windurst
152, The Republic of Bastok
153, Prelude
154, Metalworks
155, Castle Zvahl
156, Chateau d'Oraguille
157, Fury
158, Sauromugue Champaign
159, Sorrow
160, Repression (Memoro de la Stono)
161, Despair (Memoro de la Stono)
162, Heavens Tower
163, Sometime, Somewhere
164, Xarcabard
165, Galka (Character Creation)
166, Mithra (Character Creation)
167, Tarutaru Male (Character Creation)
168, Hume Female (Character Creation)
169, Regeneracy
170, Buccaneers
227, Sunbreeze Shuffle
025, [Unplayable Music] The Voracious Resurgence
026, [Unplayable Music] The Devoured
027, [Unplayable Music] Enroaching Perils
028, [Unplayable Music] The Destiny Destroyers
029, [Unplayable Music] Devils' Delight
030, [Unplayable Music] Sojourner
031, [Unplayable Music] Black Stars Rise
032, [Unplayable Music] All Smiles
033, [Unplayable Music] Valhalla
035, [Unplayable Music] Goddessspeed
036, [Unplayable Music] Good Fortune
037, [Unplayable Music] All-Consuming Chaos
038, [Unplayable Music] Your Choice
040, [Unplayable Music] Cloister of Time and Souls
041, [Unplayable Music] Royal Wanderlust
042, [Unplayable Music] Snowdrift Waltz
043, [Unplayable Music] Troubled Shadows
044, [Unplayable Music] Where Lords Rule Not
045, [Unplayable Music] Summers Lost
046, [Unplayable Music] Goddess Divine
051, [Unplayable Music] Abyssea - Scarlet Skies- Shadowed Plains
052, [Unplayable Music] Melodies Errant
053, [Unplayable Music] Shinryu
054, [Unplayable Music] Everlasting Bonds
055, [Unplayable Music] Provenance Watcher
056, [Unplayable Music] Where it All Begins
068, [Unplayable Music] World Away
069, [Unplayable Music] Distant Worlds (Nanaa Mihgo's version)
070, [Unplayable Music] Monstrosity
071, [Unplayable Music] The Pioneers (Nanaa Mihgo's version)
072, [Unplayable Music] The Serpentine Labyrinth
073, [Unplayable Music] The Divine
074, [Unplayable Music] Clouds Over Ulbuka
075, [Unplayable Music] The Price
076, [Unplayable Music] Forever Today
077, [Unplayable Music] Distant Worlds (Instrumental)
078, [Unplayable Music] Forever Today (Instrumental)
078, [Unplayable Music] Iroha is 079 but crashes Altana Viewer
080, [Unplayable Music] The Boundless Black
081, [Unplayable Music] Isle of the Gods
082, [Unplayable Music] Wail of the Void
082, [Unplayable Music] Rhapsodies of Vana'diel is 083 but crashes Altana Viewer
084, [Unplayable Music] Full Speed Ahead!
085, [Unplayable Music] Times Grow Tense
086, [Unplayable Music] Shadow Lord (Record Keeper Remix)
088, [Unplayable Music] Between Dreams and Reality
089, [Unplayable Music] Disjoined One
090, [Unplayable Music] Winds of Change
137, [Unplayable Music] A Realm of Emptiness
188, [Unplayable Music] Choc-a-bye Baby
189, [Unplayable Music] An Invisible Crown
900, [Unplayable Music] Distant Worlds w/ Vocals
